iteration,best_nse,best_r2,best_pbias,best_rmse,median_nse,median_r2,median_pbias,median_rmse,Basin
1,-1.01984964009028,0.552178392697592,0.1,0.583241402877015,-95.5768804302541,0.0973416276504738,172,4.03297315948413,Huete
2,0.0516368278247502,0.593402038625918,0,0.39964663960899,-26.5922245091899,0.146753504205502,23.2,2.15566498809958,Huete
3,0.42712586269305,0.617358656256165,0.1,0.310612145473364,-5.25817671994301,0.149199317393338,-47.7,1.02662684591544,Huete
1,0.419212749793637,0.472816567975009,0.2,0.486424852716154,-13.2648451555746,0.0800297125015623,193.85,2.41068586903588,Torote
2,0.374754410550039,0.526185148797071,0.1,0.504699108441769,-1.84225122074102,0.197452741404979,61.2,1.07606433197655,Torote
3,0.359849798460366,0.405755251135785,0,0.510679191801566,0.0103630463146674,0.204433427580404,-12.3,0.634958249448447,Torote
1,0.188809542899042,0.373583604936629,30.2,1.22359582769535,-3.67517855530274,0.111530452544138,223.8,2.93748509397804,La Pueblanueva
2,0.265665193032121,0.385221747895753,29.5,1.16418936578308,-0.864511390983369,0.196282317513082,147.75,1.85506482071366,La Pueblanueva
3,0.26908416577661,0.36013169633657,17.1,1.16147604246379,-0.200525717789234,0.220848698253396,105.2,1.48854612862529,La Pueblanueva
1,-3.46686867935022,0.355801048328995,9.9,2.62086519015306,-48.1299447487232,0.116639780465738,128.65,8.69193015087794,Ventosa
2,-5.44161014301774,0.370903483051716,12.7,3.14731570390227,-27.2218520629125,0.169459540632351,108.8,6.58773081905426,Ventosa
3,-6.97953885946468,0.3132067153768,46.3,3.50293426219847,-28.7182176952033,0.135312602217656,102.05,6.76011974114744,Ventosa
1,-1.66964880394015,0.234616111860968,2.7,0.362068670368908,-156.760461444497,0.0371413683471206,379.6,2.7833187837149,La Peraleja
2,-0.0661372578935711,0.279215931111331,0.1,0.228807597488719,-41.8819192169878,0.0522504414218561,92.1,1.45111193057967,La Peraleja
3,0.186685103362707,0.336267837095382,0.1,0.199844980262217,-6.33628812143441,0.0611540713807459,-34.45,0.600208014472677,La Peraleja
1,-2.7360705179748,0.304262124010188,0.2,0.453470561650252,-561.059928255542,0.0481904778739838,173.2,5.56201252530653,Villasequilla de Yepes
2,-2.02622436096025,0.477897713397721,0,0.408123993781991,-134.141998675984,0.0726990255104388,59.45,2.72732382443113,Villasequilla de Yepes
3,-5.21682078951158,0.413324869604177,0.1,0.584959421897986,-89.7370645647993,0.0885380365456856,65.25,2.23477547359263,Villasequilla de Yepes
1,0.679297941253115,0.687556821463868,0,3.10548746176045,-0.122926262972471,0.359414034767745,18.6,5.81104882403189,Valverde de los Arroyos
2,0.714610807524896,0.718205828674252,0,2.92952809589456,0.243847199292148,0.417172782369349,4.15,4.76852088115705,Valverde de los Arroyos
3,0.691685617820623,0.692382438555425,0,3.04491937916191,0.261579614246123,0.431397467627024,8.5,4.71227474792391,Valverde de los Arroyos
1,0.531398020566848,0.532819187810445,0.1,3.1303875066271,-0.661836516707256,0.201958285210706,34.15,5.8950851149673,Malpica
2,0.531234407151495,0.547141097451698,0,3.13093394978676,0.00615537640705666,0.237017256111582,2.9,4.55884984951577,Malpica
3,0.534997010655301,0.541278091707287,0,3.1183432243722,0.121178373121388,0.253603624809772,-2.65,4.28692984641031,Malpica
1,-0.97228163258566,0.660060161789055,9.6,1.339416162632,-14.3864283650018,0.201603806463779,92.4,3.74110568671621,Taravillas
2,-1.8800698488913,0.589360021561969,34.8,1.61857407676317,-13.2852782140109,0.211269612454055,106.7,3.60475157913884,Taravillas
3,-4.94569956041058,0.460967052616754,88.6,2.32558678137464,-19.1899410616024,0.157748070131187,122.85,4.2854709124515,Taravillas
1,-1.64344761912906,0.475459118323772,0,0.313097329677747,-356.647931720747,0.0369604992091899,156.5,3.64184843864577,Romanones
2,-2.47147490973772,0.397171710256244,0.1,0.358798835170004,-260.494565569542,0.0669022747137967,209.15,3.1140478831719,Romanones
3,-40.7344084344125,0.24796606361668,83.8,1.24405946588235,-409.546289412468,0.0511435397182163,286,3.90189046830275,Romanones
